Search Keyword,Job ID,Title,Link,Budget,Posted Time,Skills,Proposals,Client Location,Short Description
AI Automations,021996281590109178898,N8N Specialist Needed for Multi-Tenant RAG and Document Management,https://www.upwork.com/jobs/N8N-Specialist-Needed-for-Multi-Tenant-RAG-and-Document-Management_~021996281590109178898/?referrer_url_path=/nx/search/jobs/,$15,,,,,"Project Goal:
Develop robust N8N workflows for a multi-tenant RAG chatbot backend, handling the complete lifecycle of documents: secure upload, indexing, and crucial deletion/de-indexing. The RAG proc"
AI Automations,021996278306831476755,Cold Email Outreach VA for AI Agency – Lead Generation + Appointment Setting,https://www.upwork.com/jobs/Cold-Email-Outreach-for-span-class-highlight-span-Agency-Lead-Generation-Appointment-Setting_~021996278306831476755/?referrer_url_path=/nx/search/jobs/,$10,,,,,"I’m looking for a VA experienced in cold email outreach to help scale my AI agency. You’ll be contacting local businesses and promoting our services, including smart website builds, AI receptionists f"
AI Automations,021996277884607110545,N8N/Zapier/Make expert needed,https://www.upwork.com/jobs/N8N-Zapier-Make-expert-needed_~021996277884607110545/?referrer_url_path=/nx/search/jobs/,$20,,,,,"We are seeking an experienced AI Automation Engineer to build and maintain an intelligent automation system for our business. This system will use AI agents, workflow automation tools, and API integra"
AI Automations,021996278860165031955,Marketing & Automation Manager (MUST Have Real Estate + GHL Experience) – Long-Term Role,https://www.upwork.com/jobs/Marketing-amp-span-class-highlight-Automation-span-Manager-MUST-Have-Real-Estate-GHL-Experience-Long-Term-Role_~021996278860165031955/?referrer_url_path=/nx/search/jobs/,$10,,,,,"I am hiring a long-term marketing and automation specialist who MUST have experience in the Real Estate industry and MUST be an expert in Go High Level (GHL).

You will manage daily and weekly marketi"
AI Automations,021996278547471347887,Looking for Tech & Automations Assistant,https://www.upwork.com/jobs/Looking-for-Tech-amp-span-class-highlight-Automations-span-Assistant_~021996278547471347887/?referrer_url_path=/nx/search/jobs/,$5,,,,,"We’re looking for a highly skilled Automation & Systems Specialist who can help us build, optimize, and maintain a multi-platform workflow integrating:

Go High Level (GHL)
Zapier / Make
Vapi (AI dial"
AI Automations,021996275536866418065,n8n AI Agent Builder and Automations,https://www.upwork.com/jobs/n8n-span-class-highlight-span-Agent-Builder-and-span-class-highlight-Automations-span_~021996275536866418065/?referrer_url_path=/nx/search/jobs/,Hourly,,,,,"I need someone to set up a group of AI agents on n8n to automate various business development research, social media content posts and scheduling, copywriting, Divi website edits, and other automation"
AI Automations,021996272267709067439,n8n Automation Expert for YouTube Split Testing & Multi-Platform Posting,https://www.upwork.com/jobs/n8n-span-class-highlight-Automation-span-Expert-for-YouTube-Split-Testing-amp-Multi-Platform-Posting_~021996272267709067439/?referrer_url_path=/nx/search/jobs/,$30,,,,,"n8n Automation Expert Needed for YouTube Split Testing and Multi-Platform Video Distribution System

I need an experienced n8n automation developer to build a complete content publishing system for my"
AI Automations,021996272160766898351,3 youtube thumbnail variants,https://www.upwork.com/jobs/youtube-thumbnail-variants_~021996272160766898351/?referrer_url_path=/nx/search/jobs/,$60,,,,,"YouTube thumbnail for photo attached , ONLY focusing on the man, remove his wife please, can use AI if stays resembling the man :)

(it's for a podcast interview on YouTube)

 3 caption variants

""$1,"
AI Automations,021996271031907657747,AI video ADS,https://www.upwork.com/jobs/span-class-highlight-span-video-ADS_~021996271031907657747/?referrer_url_path=/nx/search/jobs/,$300,,,,,"JOB OFFER — Video Creator (AI + UGC)
We’re looking for a creator to produce:
2 video ads 
1 UGC videos
Using AI   We need to have all four videos within 24 hours."
automation workflows,021996308100679310738,Zoho Setup Specialist Needed for Business Configuration,https://www.upwork.com/jobs/Zoho-Setup-Specialist-Needed-for-Business-Configuration_~021996308100679310738/?referrer_url_path=/nx/search/jobs/,"$1,100",Posted 5 minutes ago,,,,We are seeking an experienced Zoho freelancer to assist with setting up our business management system. The ideal candidate will have a strong background in Zoho applications and will help tailor the 
automation workflows,021996306120399653906,Lead Generation & Sales Operations Specialist (HubSpot API + Orum),https://www.upwork.com/jobs/Lead-Generation-Sales-Operations-Specialist-HubSpot-API-Orum_~021996306120399653906/?referrer_url_path=/nx/search/jobs/,$4,Posted 13 minutes ago,,,,"We're looking for a scrappy, technical lead generation specialist to fuel a high-velocity B2B sales operation.

The Challenge:
Our SDR is a machine-hitting 700+ dials per day using Orum. But he's runn"
automation workflows,021996305630846623121,"Automation Engineer Needed: Expertise in n8n, Make.com, and VAPI",https://www.upwork.com/jobs/span-class-highlight-Automation-span-Engineer-Needed-Expertise-n8n-Make-com-and-VAPI_~021996305630846623121/?referrer_url_path=/nx/search/jobs/,$100,Posted 15 minutes ago,,,,"Summary
Automation Agency – Long-Term Partnership
Project Type: Ongoing Contract (Long-Term Engagement)
Experience Level: Expert / Agency Preferred
Compensation: Per-Project Basis (Negotiated Each Tim"
automation workflows,021996303621322582035,AI/Enrichment Specialist for Data Optimization,https://www.upwork.com/jobs/Enrichment-Specialist-for-Data-Optimization_~021996303621322582035/?referrer_url_path=/nx/search/jobs/,Hourly,Posted 23 minutes ago,,,,"We are seeking an experienced AI/Enrichment Specialist to enhance our data processes. The ideal candidate will perform bulk enrichment using AI, title classification, tagging, research automation, dat"
automation workflows,021996303592482615471,Automation & CRM Tech VA Needed (Airtable + Zapier + MailerLite Integration),https://www.upwork.com/jobs/span-class-highlight-Automation-span-amp-CRM-Tech-Needed-Airtable-Zapier-MailerLite-Integration_~021996303592482615471/?referrer_url_path=/nx/search/jobs/,$440,Posted 23 minutes ago,,,,"our Responsibilities Will Include:
1. Building Automations

You’ll create flows that connect:

MailerLite forms

Airtable databases

Zapier automation

SMS notifications (TextMagic/Twilio)

Examples:
"
automation workflows,021996303251436997650,Amazon PPC Automation Software SaaS (Seller Central API + AI + Auto-Bidding Engine),https://www.upwork.com/jobs/Amazon-PPC-span-class-highlight-Automation-span-Software-SaaS-Seller-Central-API-Auto-Bidding-Engine_~021996303251436997650/?referrer_url_path=/nx/search/jobs/,$5,Posted 24 minutes ago,,,,"We are looking for a highly experienced developer or team to build a full Amazon PPC Automation SaaS platform.

The software must connect directly to Amazon Seller Central via the Advertising API, pul"
automation workflows,021996301777065581969,TaxDome Automation & Workflow Specialist Needed,https://www.upwork.com/jobs/TaxDome-span-class-highlight-Automation-span-amp-span-class-highlight-Workflow-span-Specialist-Needed_~021996301777065581969/?referrer_url_path=/nx/search/jobs/,$12,Posted 30 minutes ago,,,,We are looking for a detail-oriented and experienced TaxDome Automation & Workflow Specialist to enhance our operational efficiency. The ideal candidate will have a deep understanding of TaxDome's fea
automation workflows,021996301161000078354,HubSpot Enterprise Email Marketing,https://www.upwork.com/jobs/HubSpot-Enterprise-Email-Marketing_~021996301161000078354/?referrer_url_path=/nx/search/jobs/,"$1,000",Posted 33 minutes ago,,,,I'm looking for a HubSpot email marketing expert that can help us build out automated workflows with dynamic content for lead nurture.
automation workflows,021996300558000140463,Social Media Automation Using AI and n8n,https://www.upwork.com/jobs/Social-Media-span-class-highlight-Automation-span-Using-and-n8n_~021996300558000140463/?referrer_url_path=/nx/search/jobs/,$10,Posted 35 minutes ago,,,,"We are seeking a skilled freelancer to implement AI automation strategies using n8n for our social media management. The ideal candidate will design workflows to automate posts, engagement responses, "
automation workflows,021996298555412290961,Transition from Salesforce to New System,https://www.upwork.com/jobs/Transition-from-Salesforce-New-System_~021996298555412290961/?referrer_url_path=/nx/search/jobs/,"$1,050",Posted 43 minutes ago,,,,Evaluate best software for Work Management based on discussion with client. Transition from existing Salesforce solution to new solution. Train and assist employees of client firm as needed. Develop a
automation workflows,021996297559521503251,AI Automation Setup Specialist (Freelancer),https://www.upwork.com/jobs/span-class-highlight-Automation-span-Setup-Specialist-Freelancer_~021996297559521503251/?referrer_url_path=/nx/search/jobs/,$2,Posted 48 minutes ago,,,,"Description:
I run a business helping small businesses automate repetitive admin tasks using AI and workflow automation tools. I’m looking for a freelance automation specialist to implement workflow a"
automation workflows,021996296933078731794,Core Automation Engineer Needed for Airtable and Integrations,https://www.upwork.com/jobs/Core-span-class-highlight-Automation-span-Engineer-Needed-for-Airtable-and-Integrations_~021996296933078731794/?referrer_url_path=/nx/search/jobs/,$12,Posted 50 minutes ago,,,,"We are seeking a skilled Core Automation Engineer to streamline our processes, build automations to connect platforms, and ensure only clean data exists in our systems. Must be well versed in Airtable"
automation workflows,021996296502481465519,Dynamics 365 Specialist for SAGE Migration and System Build-Out,https://www.upwork.com/jobs/Dynamics-365-Specialist-for-SAGE-Migration-and-System-Build-Out_~021996296502481465519/?referrer_url_path=/nx/search/jobs/,$25,Posted 52 minutes ago,,,,We’re looking for a Dynamics 365 power user + integration specialist to lead our transition from SAGE and spreadsheet-driven workflows into a fully operational D365 environment. Our business already w
automation workflows,021996250905309294767,Senior Automation Engineer (n8n + Airtable + Go High Level +  OpenAI + WhatsApp API),https://www.upwork.com/jobs/Senior-span-class-highlight-Automation-span-Engineer-n8n-Airtable-High-Level-OpenAI-WhatsApp-API_~021996250905309294767/?referrer_url_path=/nx/search/jobs/,$2,Posted 53 minutes ago,,,,"I’m building a scalable, productized **AI Marketing Ecosystem for SMBs** — a plug-and-play system designed to manage:

- AI appointment booking
- WhatsApp/IG automation
- Missed-call recovery
- Reacti"
automation workflows,021994373597551681749,GoHighLevel Automation & Tech Setup Expert for Info-Business Funnels (Long-Term | Fixed or Hourly),https://www.upwork.com/jobs/GoHighLevel-span-class-highlight-Automation-span-amp-Tech-Setup-Expert-for-Info-Business-Funnels-Long-Term-Fixed-Hourly_~021994373597551681749/?referrer_url_path=/nx/search/jobs/,$25,Posted 6 days ago,,,,"JOB DESCRIPTION:
I’m looking for a high-level GoHighLevel automation & tech specialist for long-term collaboration across two brands (construction + online education).
This is not a basic funnel build"
automation workflows,021996295987051767827,Experienced DevOps Engineer for SwyftBooking – Production & Security,https://www.upwork.com/jobs/Experienced-DevOps-Engineer-for-SwyftBooking-Production-Security_~021996295987051767827/?referrer_url_path=/nx/search/jobs/,$5,Posted 54 minutes ago,,,,"Role Overview
SwyftBooking is seeking an experienced DevOps Engineer to design, build, and manage our production infrastructure across all modules including flights, vacation rentals, car rentals, tru"
automation workflows,021996295726145087508,Manual LinkedIn Outreach Specialist,https://www.upwork.com/jobs/Manual-LinkedIn-Outreach-Specialist_~021996295726145087508/?referrer_url_path=/nx/search/jobs/,$10,Posted 55 minutes ago,,,,"We need a manual LinkedIn outreach operator who can safely run 3 LinkedIn accounts and follow our exact templates and daily process.

This is a slow, careful, human-style outreach job - NOT automation"
automation workflows,021996295020403107859,Expert n8n Workflow Developer for Content Idea Generation,https://www.upwork.com/jobs/Expert-n8n-span-class-highlight-Workflow-span-Developer-for-Content-Idea-Generation_~021996295020403107859/?referrer_url_path=/nx/search/jobs/,$432,Posted 58 minutes ago,,,,We are seeking an experienced freelancer to assist in building n8n workflows that will help identify both long-form and short-form content ideas tailored to our niche and audience. The ideal candidate
automation workflows,021996293245310740499,"Web Designer / WordPress Developer – Modern, Mobile-First Website for Insurance & Financial Advisory",https://www.upwork.com/jobs/Web-Designer-WordPress-Developer-Modern-Mobile-First-Website-for-Insurance-Financial-Advisory_~021996293245310740499/?referrer_url_path=/nx/search/jobs/,$15,Posted 1 hour ago,,,,"We are BALDREICH GmbH, a modern insurance and financial advisory company based in Austria.
We are looking for a professional Web Designer / WordPress Developer to build a clean, high-converting, mobil"
automation workflows,021996293763304786962,Appointment Sequence Automation in Oncehub/ScheduleOnce,https://www.upwork.com/jobs/Appointment-Sequence-span-class-highlight-Automation-span-Oncehub-ScheduleOnce_~021996293763304786962/?referrer_url_path=/nx/search/jobs/,"$1,000",Posted 1 hour ago,,,,"Looking for an automation expert to build a pre-appointment reminder sequence in Oncehub/ScheduleOnce. The emails are already written, include a video link, and need to be automated inside the calenda"
automation workflows,021996292593138479279,N8N expert to build workflows,https://www.upwork.com/jobs/N8N-expert-build-span-class-highlight-workflows-span_~021996292593138479279/?referrer_url_path=/nx/search/jobs/,$34,,,,,"Hello.

Looking for a skilled N8N automation specialist. Quote me a fixed price that include revisions to make sure workflow is functioning correctly. The flow is in article writing and wordpress uplo"
automation workflows,021996291310692214803,GHL Expert,https://www.upwork.com/jobs/GHL-Expert_~021996291310692214803/?referrer_url_path=/nx/search/jobs/,$5,,,,,I am hiring a part time GHL Expert to help me build and manage Go High Level systems. You will take my instructions and turn them into working assets. You will deliver fast results with a clear 24 hou
automation workflows,021996290694449990674,GoHighLevel Expert Needed,https://www.upwork.com/jobs/GoHighLevel-Expert-Needed_~021996290694449990674/?referrer_url_path=/nx/search/jobs/,"$1,000",,,,,"Technical Setup Needed

Connect and configure my domain

Install and configure the chat widget properly

Build the full backend structure

Set up calendars, workflows, tags, pipelines

Create 3-tier o"
automation workflows,021996290329208301587,Zapier expert needed to integrate square calendar with Go High Level,https://www.upwork.com/jobs/Zapier-expert-needed-integrate-square-calendar-with-High-Level_~021996290329208301587/?referrer_url_path=/nx/search/jobs/,$50,,,,,I am looking for a Zapier expert that can integrate our calendar inside Go High Level with our Calendar inside our Square account so that we do not have double bookings. This can be long term as the r
automation workflows,021995954932487953572,Senior Full Stack Developer (TypeScript) to Join Bee Techy as Team Lead,https://www.upwork.com/jobs/Senior-Full-Stack-Developer-TypeScript-Join-Bee-Techy-Team-Lead_~021995954932487953572/?referrer_url_path=/nx/search/jobs/,$25-$30,,,,,"At Bee Techy, we’re a high-flying software development agency, ranked in the top 1%, building next-gen solutions for startups and enterprises alike. We’re looking for a Team Lead to guide our buzzing "
automation workflows,021996288876798020626,ActiveCampaign + WPForms Funnel Automation Specialist (Segmentation + Nurture Build),https://www.upwork.com/jobs/ActiveCampaign-WPForms-Funnel-span-class-highlight-Automation-span-Specialist-Segmentation-Nurture-Build_~021996288876798020626/?referrer_url_path=/nx/search/jobs/,$150,,,,,"I need an ActiveCampaign specialist to build a single, clean automation that handles:

Generic “needs info” email sequence after a simple landing-page form

Processing a longer follow-up form (WPForms"
automation workflows,021996288777707588626,"CRM System Setup Specialist Needed (HubSpot, Bitrix24, or Pipedrive)",https://www.upwork.com/jobs/CRM-System-Setup-Specialist-Needed-HubSpot-Bitrix24-Pipedrive_~021996288777707588626/?referrer_url_path=/nx/search/jobs/,$182,,,,,"We are seeking an experienced CRM Setup Specialist to implement a new CRM system, either HubSpot, Bitrix24, or Pipedrive. You will be responsible for configuring the system based on our existing workf"
automation workflows,021996288612982990867,SmartSheet Expert,https://www.upwork.com/jobs/SmartSheet-Expert_~021996288612982990867/?referrer_url_path=/nx/search/jobs/,$198,,,,,"About Us: 
Smart Build specializes in apartment renovations and multifamily construction projects across the U.S. We pride ourselves on efficiency, innovation, and delivering exceptional results to ou"
automation workflows,021996288162867062803,Full Stack Developer Needed,https://www.upwork.com/jobs/Full-Stack-Developer-Needed_~021996288162867062803/?referrer_url_path=/nx/search/jobs/,$15,,,,,We’re looking for a full-stack developer to join our team and help build key features for a production application used by a talent agency. You’ll be working closely with two other developers and will
automation workflows,021996288028994964498,Part-time ecommerce bookkeeper/executive assistant,https://www.upwork.com/jobs/Part-time-ecommerce-bookkeeper-executive-assistant_~021996288028994964498/?referrer_url_path=/nx/search/jobs/,$2,,,,,"COMPANY BACKGROUND

We are a small but tight-knit team running ecommerce operations for large brands in the US. Mutual trust and hard work are the foundation of everything we do. We take very good car"
n8n,021996305630846623121,"Automation Engineer Needed: Expertise in n8n, Make.com, and VAPI",https://www.upwork.com/jobs/Automation-Engineer-Needed-Expertise-span-class-highlight-n8n-span-Make-com-and-VAPI_~021996305630846623121/?referrer_url_path=/nx/search/jobs/,Hourly,Posted 18 minutes ago,,,,"Summary
Automation Agency – Long-Term Partnership
Project Type: Ongoing Contract (Long-Term Engagement)
Experience Level: Expert / Agency Preferred
Compensation: Per-Project Basis (Negotiated Each Tim"
n8n,021996300558000140463,Social Media Automation Using AI and n8n,https://www.upwork.com/jobs/Social-Media-Automation-Using-and-span-class-highlight-n8n-span_~021996300558000140463/?referrer_url_path=/nx/search/jobs/,$10,Posted 38 minutes ago,,,,"We are seeking a skilled freelancer to implement AI automation strategies using n8n for our social media management. The ideal candidate will design workflows to automate posts, engagement responses, "
n8n,021996250905309294767,Senior Automation Engineer (n8n + Airtable + Go High Level +  OpenAI + WhatsApp API),https://www.upwork.com/jobs/Senior-Automation-Engineer-span-class-highlight-n8n-span-Airtable-High-Level-OpenAI-WhatsApp-API_~021996250905309294767/?referrer_url_path=/nx/search/jobs/,$2,Posted 55 minutes ago,,,,"I’m building a scalable, productized **AI Marketing Ecosystem for SMBs** — a plug-and-play system designed to manage:

- AI appointment booking
- WhatsApp/IG automation
- Missed-call recovery
- Reacti"
n8n,021996295020403107859,Expert n8n Workflow Developer for Content Idea Generation,https://www.upwork.com/jobs/Expert-span-class-highlight-n8n-span-Workflow-Developer-for-Content-Idea-Generation_~021996295020403107859/?referrer_url_path=/nx/search/jobs/,$432,Posted 1 hour ago,,,,We are seeking an experienced freelancer to assist in building n8n workflows that will help identify both long-form and short-form content ideas tailored to our niche and audience. The ideal candidate
n8n,021996292593138479279,N8N expert to build workflows,https://www.upwork.com/jobs/span-class-highlight-N8N-span-expert-build-workflows_~021996292593138479279/?referrer_url_path=/nx/search/jobs/,$34,,,,,"Hello.

Looking for a skilled N8N automation specialist. Quote me a fixed price that include revisions to make sure workflow is functioning correctly. The flow is in article writing and wordpress uplo"
n8n,021996292196646727855,Vapi.AI Expert Needed for Warm Transfer Setup & Feature Guidance,https://www.upwork.com/jobs/Vapi-Expert-Needed-for-Warm-Transfer-Setup-Feature-Guidance_~021996292196646727855/?referrer_url_path=/nx/search/jobs/,$5,,,,,"I’m looking for an experienced Vapi.AI developer to help me configure and optimize several features, including warm transfer, within my existing Vapi setup. The work will be done live over screen-shar"
n8n,021996285044407929874,Urgent Meeting Request – Conversational AI in GoHighLevel,https://www.upwork.com/jobs/Urgent-Meeting-Request-Conversational-GoHighLevel_~021996285044407929874/?referrer_url_path=/nx/search/jobs/,Hourly,,,,,We are looking for an experienced developer or AI specialist who can create and implement conversational AI solutions within Go High Level. The ideal candidate should have hands-on experience building
n8n,021996281590109178898,N8N Specialist Needed for Multi-Tenant RAG and Document Management,https://www.upwork.com/jobs/span-class-highlight-N8N-span-Specialist-Needed-for-Multi-Tenant-RAG-and-Document-Management_~021996281590109178898/?referrer_url_path=/nx/search/jobs/,$15,,,,,"Project Goal:
Develop robust N8N workflows for a multi-tenant RAG chatbot backend, handling the complete lifecycle of documents: secure upload, indexing, and crucial deletion/de-indexing. The RAG proc"
n8n,021996277884607110545,N8N/Zapier/Make expert needed,https://www.upwork.com/jobs/span-class-highlight-N8N-span-Zapier-Make-expert-needed_~021996277884607110545/?referrer_url_path=/nx/search/jobs/,$20,,,,,"We are seeking an experienced AI Automation Engineer to build and maintain an intelligent automation system for our business. This system will use AI agents, workflow automation tools, and API integra"
n8n,021996275536866418065,n8n AI Agent Builder and Automations,https://www.upwork.com/jobs/span-class-highlight-n8n-span-Agent-Builder-and-Automations_~021996275536866418065/?referrer_url_path=/nx/search/jobs/,Hourly,,,,,"I need someone to set up a group of AI agents on n8n to automate various business development research, social media content posts and scheduling, copywriting, Divi website edits, and other automation"
